id,lemma,rank,band,pos,gender,aspect,ipa,gloss_en_current,gloss_en_new,gloss_ro_current,gloss_ro_new,example_sk,example_en,register_flag,cognate_ro,notes,verdict
sk:zostať,zostať,189,1,VERB,,pf,/zɔstac/,"synonym of ostať (“to stay, to remain, to persist, to be left”)",,a rămâne,,Koľko zostalo masla?,How much butter is left?,,,,
sk:dievča,dievča,190,1,NOUN,neut,,/ɟɪ̯evt͡ʃa/,girl (female child),,fată,,Poznáš toto dievča?,Do you know this girl?,,,,
sk:vďaka,vďaka,191,1,NOUN,fem,,/vɟaka/,gratefulness,,mulțumiri; datorită,,"Vďaka, si úžasný!","Thanks, you're fantastic!",,,,
sk:zomrieť,zomrieť,192,1,VERB,,pf,/zɔmrɪ̯ec/,to die (to cease to live),,a muri,,Tom pravdepodobne zomrel.,Tom probably died.,,,,
sk:počúvať,počúvať,193,1,VERB,,impf,/pɔt͡ʃuːvac/,to listen; to hear (to receive information),,a asculta,,Počúvame keltskú hudbu.,We're listening to Celtic music.,,,,
sk:páčiť,páčiť,194,1,,,,,,,a plăcea (mi se pare frumos),,Nech sa páči.,Here you go.,,,,
sk:však,však,195,1,,,,,,,totuși; nu-i așa?,,"Krásna je, však?","She's beautiful, isn't she?",,,,
sk:večer,večer,196,1,NOUN,masc,,/vet͡ʃer/,evening,,seară,,Dnes večer odídem.,I'll leave tonight.,,vecernie,,
sk:znamenať,znamenať,197,1,VERB,,impf,/znamenac/,to mean,,a însemna,,Čo toto znamená?,What does this mean?,,,,
sk:kvôli,kvôli,198,1,ADP,,,/kvu̯ɔʎi/,"for, for the sake of; for, because of, due to",,din cauza; de dragul,,Nemôžeme spať kvôli hluku.,We can't sleep because of the noise.,,,,
sk:lebo,lebo,199,1,CCONJ,,,/ʎebɔ/,"as, since, because",,pentru că; fiindcă,,"Rýchlo, lebo zmeškáš vlak.","Hurry, or you'll miss the train.",,,,
sk:chlap,chlap,200,1,NOUN,masc,,/xlap/,man (male human),,bărbat; tip,,Vidím piatich chlapov.,I see five men.,,,,
sk:čakať,čakať,201,1,VERB,,impf,/t͡ʃakac/,to wait,,a aștepta,,Môžem iba čakať.,I can only wait.,,,,
sk:teda,teda,202,1,CCONJ,,,/teda/,"thus, so; which means, I mean",,deci; adică,,"Myslím, teda som.","I think, therefore I am.",,,,
sk:žiť,žiť,203,1,VERB,,impf,/ʒic/,to live,,a trăi,,Žijete v Libanone?,Do you live in Lebanon?,,,,
sk:peniaze,peniaze,204,1,NOUN,,,/peɲɪ̯aze/,money,,bani,,Nemám žiadne peniaze.,I don't have any money.,,,,
sk:pár,pár,205,1,,,,,,,câțiva; o pereche,,Urobil som pár zmien.,I made a few changes.,,,,
sk:nech,nech,206,1,,,,,,,să (lasă să),,Nech žije Bielorusko!,Long live the Belarus!,,,,
sk:druhý,druhý,207,1,ADJ,,,/druɦiː/,second; other; another,,al doilea; celălalt,,Obdivujú jeden druhého.,They admire each other.,,,,
sk:hneď,hneď,208,1,,,,,,,imediat,,Hneď sa vrátim.,I'll be back right away.,,,,
sk:starý,starý,209,1,ADJ,,,/stariː/,old,,bătrân; vechi,,Starý pes štekal.,The old dog barked.,,,,
sk:hodina,hodina,210,1,NOUN,fem,,/ɦɔɟina/,hour,,oră; ceas (durată),,Mešká dve hodiny.,He's two hours late.,,,,
sk:posledný,posledný,211,1,ADJ,,,/pɔsʎedniː/,last,,ultimul,,Dojedla ako posledná.,She was the last person to finish eating.,,,,
sk:než,než,212,1,,,,,,,decât; înainte să,,Je mladšia než ja.,She is younger than me.,,,,
sk:kedy,kedy,213,1,ADV,,,/kedi/,when,,când,,Kedy si jedol?,When did you eat?,,,,
sk:jediný,jediný,214,1,ADJ,,,/ˈjeɟɪˌniː/,"only, sole",,singurul; unic,,Nemám jediného nepriateľa.,I don't have a single enemy.,,,,
sk:pôjsť,pôjsť,215,1,VERB,,pf,/pu̯ɔjsc/,"to originate, to arise, to spring from (to have a beginning or cause in something); to leave, to depart, to go away (to move away from a place); to die, to perish, to vanish (of people or animals: to pass away; of property: to be lost); to step, to approach, to walk a bit (to take a few steps toward someone or something)",,a proveni; a izvorî,,Pôjdete do školy.,You will go to school.,,,,
sk:tri,tri,216,1,NUM,,,/tri/,three,,trei,,Tri lyžice chýbajú.,Three spoons are missing.,,,,
sk:držať,držať,217,1,VERB,,impf,/dr̩ʒac/,to hold (to grasp),,a ține,,Držte mi palce!,Wish me luck.,,,,
sk:uvidieť,uvidieť,218,1,,,,,,,a vedea (perfectiv); om vedea,,Uvidíš ten rozdiel.,You will see the difference.,,,,
sk:rodina,rodina,219,1,NOUN,fem,,/rɔɟina/,family,,familie,,Tom má rodinu.,Tom has a family.,,,,
sk:rozumieť,rozumieť,220,1,VERB,,impf,/rɔzumɪ̯ec/,to understand,,a înțelege,,Nerozumiem tomu slovu.,I don't understand this word.,,,,
sk:auto,auto,221,1,NOUN,neut,,/ˈau̯tɔ/,car,,mașină,,Auto bolo opustené.,The car was abandoned.,,,,
sk:ukázať,ukázať,222,1,VERB,,pf,/ukaːzac/,"to point, to point out; to show; to demonstrate; to prove, to turn out, to manifest",,a arăta,,Ukáž mi to.,Show it to me.,,,,
sk:báť,báť,223,1,VERB,,impf,/baːc/,"to be afraid (to experience the feeling of fear); to fear (to be afraid of someone or something); to be worried, to worry; to be afraid (of doing something)",,a se teme,,Nebojím sa ich.,I don't fear them.,,,,
sk:stretnúť,stretnúť,224,1,VERB,,pf,/stretnuːc/,to meet; to meet,,a întâlni,,Práve som ho stretol.,I just met him.,,,,
sk:skvelý,skvelý,225,1,,,,,,,grozav; excelent,,Je v skvelej forme.,He is in perfect shape.,,,,
sk:meno,meno,226,1,NOUN,neut,,/menɔ/,name; noun (broad sense),,nume,,"Tvoje meno, prosím.","Your name, please.",,,,
sk:dlho,dlho,227,1,,,,,,,mult timp,,Ako dlho zostaneš?,How long are you going to stay?,,,,
sk:samozrejme,samozrejme,228,1,,,,,,,desigur; bineînțeles,,"Samozrejme, že pôjdem.",Of course I'll go.,,,,
sk:raz,raz,229,1,ADV,,,/ras/,once,,o dată; cândva,,"Ešte raz, prosím.","Once more, please.",,,,
sk:zobrať,zobrať,230,1,,,,,,,a lua (perfectiv),,Zober túto krabicu.,Take this box.,,,,
sk:hlava,hlava,231,1,NOUN,fem,,/ɦlava/,head; chapter,,cap; capitol,,Stále vás bolí hlava?,Does your head still hurt?,,,,
sk:takto,takto,232,1,,,,,,,așa; în felul acesta,,Takto to bolo vždy.,This is always the way it has been.,,,,
sk:mŕtvy,mŕtvy,233,1,ADJ,,,/mr̩ːtvi/,dead; lifeless,,mort,,Tom nie je mŕtvy.,Tom is not dead.,,,,
sk:skončiť,skončiť,234,1,,,,,,,a termina; a se sfârși,,Už som skončil.,I've already finished.,,,,
sk:preč,preč,235,1,ADV,,,/ˈprɛt͡ʃ/,away; gone,,plecat; departe,,Vezmi tú krabicu preč!,Take that box away!,,,,
sk:pekný,pekný,236,1,ADJ,,,/pekniː/,nice; pretty,,frumos; drăguț,,Budova je pekná.,The building is nice.,,,,
sk:chápať,chápať,237,1,,,,,,,a înțelege; a pricepe,,"Chápem, čo myslíte.",I see your point.,,,,
sk:spolu,spolu,238,1,,,,,,,împreună,,Odišli ste spolu?,Did you leave together?,,,,
sk:zabudnúť,zabudnúť,239,1,VERB,,pf,/zabudnuːc/,to forget,,a uita,,"Prepáčte, zabudol som.","Sorry, I forgot.",,,,
sk:vlastne,vlastne,240,1,,,,,,,de fapt,,Čo sa vlastne snažíš dokázať?,What exactly are you trying to prove?,,,,
sk:prípad,prípad,241,1,NOUN,masc,,/priːpat/,case,,caz,,V každom prípade.,Of course.,,,,
sk:dáma,dáma,242,1,NOUN,fem,,/daːma/,lady; queen; queen,,doamnă; damă,,Dám ti knihu.,I'll give you a book.,,,,
sk:vravieť,vravieť,243,1,VERB,,impf,/ˈvravi̯ɛc/,"to tell, to say",,a zice; a spune,,To ste už vraveli.,You said that already.,,,,
sk:kurva,kurva,244,1,NOUN,fem,,/kurva/,"prostitute, whore, hooker, slut; fake friend, conman, liar, knave",,curvă (vulgar); la naiba (interjecție vulgară),,,,vulgar,,,
sk:dávať,dávať,245,1,VERB,,impf,/daːvac/,to give,,a da (imperfectiv),,To dáva zmysel.,It makes sense.,,,,
sk:zistiť,zistiť,246,1,,,,,,,a afla; a constata,,Zistil si niečo?,Have you found something out?,,,,
sk:vôbec,vôbec,247,1,,,,,,,deloc; în general,,Vôbec nerozumiem francúzsky.,I don't understand French at all.,,,,
sk:hľadať,hľadať,248,1,VERB,,impf,/ɦʎadac/,"to search, to look for",,a căuta,,Hľadám svojich kamarátov.,I am looking for my friends.,,,,
sk:matka,matka,249,1,NOUN,fem,,/matka/,mother,,mamă,,Matka ich opustila.,They were abandoned by their mother.,,,,
sk:zbraň,zbraň,250,1,,,,,,,armă,,Zbraň sme nenašli.,We didn't find a weapon.,,,,
sk:ráno,ráno,251,1,,,,,,,dimineață; dimineața,,Pršalo celé ráno.,It's been raining all morning.,,,,
sk:chvíľa,chvíľa,252,1,NOUN,fem,,/xviːʎa/,while,,clipă; moment,,"Prosím, chvíľu tu počkajte.",Please wait here for a while.,,,,
sk:poslať,poslať,253,1,,,,,,,a trimite,,Kto poslal kvety?,Who sent the flowers?,,,,
sk:kam,kam,254,1,,,,,,,încotro; unde (cu mișcare),,"Kam ideš, oci?","Where are you going, Dad?",,,,
sk:mesto,mesto,255,1,NOUN,neut,,/mestɔ/,city; town,,oraș,,Žijem v meste.,I'm living in the city.,,,,
sk:niekedy,niekedy,256,1,,,,,,,câteodată; cândva,,Odpustíte mi niekedy?,Will you ever forgive me?,,,,
sk:pamätať,pamätať,257,1,VERB,,impf,/pamætac/,to remember,,a ține minte; a-și aminti,,Pamätám si to.,I remember that.,,,,
sk:hrať,hrať,258,1,VERB,,impf,/ɦrac/,to play,,a juca; a cânta (la instrument),,Nechcem hrať hry.,I don't want to play games.,,,,
sk:von,von,259,1,ADV,,,/vɔn/,"out, outwards",,afară,,"Napriek dažďu, vyšiel som von.","Although it was raining, I went out.",,,,
sk:príliš,príliš,260,1,,,,,,,prea,,Som príliš lenivý.,I am too lazy.,,,,
sk:zastaviť,zastaviť,261,1,VERB,,pf,/zastavic/,"to stop, to halt (to cause someone or something to cease moving forward); to interrupt, to suspend, to shut down (to cease an activity, operation, or the movement of a mechanism); to stop, to pull up (to cease movement at a specific location); to pawn, to pledge (to give something as security for a loan)",,a opri,,Tom ťa nezastaví.,Tom won't stop you.,,,,
sk:dúfať,dúfať,262,1,,,,,,,a spera,,"Kým dýcham, dúfam.","While I breathe, I hope.",,,,
sk:týždeň,týždeň,263,1,NOUN,masc,,/tiːʒɟeɲ/,week,,săptămână,,Aký dlhý týždeň!,What a long week!,,,,
sk:stáť,stáť,264,1,VERB,,impf,/staːc/,"to stand (to be in an upright position on one's feet); to stand, to be situated (of objects or plants, to be positioned upright in their usual place); to be stationary, to stop (to remain in one place and not move); to be idle, to not function (of machines or factories, to not be in operation)",,a sta în picioare; a costa,,Koľko to stojí?,How much is it?,,,,
sk:rozprávať,rozprávať,265,1,,,,,,,a povesti; a vorbi,,Ženy rady rozprávajú.,Women like to talk.,,,,
sk:rada,rada,266,1,,,,,,,cu plăcere (fem.); sfat,,Mačka rada spí.,The cat likes sleeping.,,,,
sk:úplne,úplne,267,1,,,,,,,complet; în totalitate,,Som úplne vyčerpaný.,I'm completely exhausted.,,,,
sk:určite,určite,268,1,ADV,,,/ˈurt͡ʃicɛ/,"certainly, surely, definitely",,cu siguranță; sigur,,Určite hovorí portugalsky?,Are you sure she's speaking Portuguese?,,,,
sk:nuž,nuž,269,1,,,,,,,ei bine; păi,,,,,,,
sk:pod,pod,270,1,ADP,,,/pɔt/,below,,sub,,Sušienky sú pod stolom.,The cookies are under the table.,,,,
sk:fajn,fajn,271,1,,,,,,,bine; fain,,To je fajn.,That's fine.,,,,
sk:pripravený,pripravený,272,1,,,,,,,pregătit; gata,,Som pripravený čakať.,I'm prepared to wait.,,,,
sk:syn,syn,273,1,NOUN,masc,,/sin/,son (male offspring),,fiu,,Máme dvoch synov.,We have two sons.,,,,
sk:cez,cez,274,1,ADP,,,/ˈt͡sɛz/,through,,prin; peste,,Muž cez palubu!,Man overboard!,,,,
sk:oko,oko,275,1,NOUN,neut,,/ɔkɔ/,eye; sprout on a potato,,ochi,,Má modré oči.,She has blue eyes.,,,,
sk:hora,hora,276,1,NOUN,fem,,/ɦɔra/,mountain,,munte; pădure,,Si stále hore?,You're still up?,,,,
sk:zmeniť,zmeniť,277,1,VERB,,pf,/zmeɲic/,"to change, to alter, to modify (to give someone or something a different appearance or character; to make different); to change, to exchange, to replace (to replace one thing with another or to exchange money); to change, to transform, to turn into (to acquire a different appearance or character; to become different)",,a schimba,,Tom zmenil budúcnosť.,Tom changed the future.,,,,
sk:doktor,doktor,278,1,NOUN,masc,,/dɔktɔr/,"doctor, physician; doctor, PhD",,doctor; medic,,"Doktor, ktorý nie je umelcom, nie je ani doktorom.",A doctor who is not an artist is no doctor either.,,,,
sk:u,u,279,1,ADP,,,/u/,,,la (cineva),,Platí sa u pokladni.,Pay at the cash register.,,,,
sk:správa,správa,280,1,NOUN,fem,,/spraːva/,message; administration,,mesaj; știre; administrare,,Odošli tú správu.,Send that message.,,,,
sk:koniec,koniec,281,1,NOUN,masc,,/kɔɲɪ̯et͡s/,end; death,,sfârșit; capăt,,Koniec korunuje dielo.,The end crowns the work.,,,,
sk:vlastný,vlastný,282,1,ADJ,,,/vlastniː/,own,,propriu,,Neverím vlastným očiam.,I can't believe my eyes.,,,,
sk:minúta,minúta,283,1,NOUN,fem,,/minuːta/,minute,,minut,,Zavolám ti za pár minút.,I will call you in a few minutes.,,,,
sk:koľko,koľko,284,1,PRON,,,/kɔʎkɔ/,how much; how many,,cât; câți,,Koľko to stojí?,How much is it?,,,,
sk:rýchlo,rýchlo,285,1,ADV,,,/riːxlɔ/,quickly,,repede,,Rýchlo sa nahnevá.,He's quick to anger.,,,,
sk:pomoc,pomoc,286,1,NOUN,fem,,/pɔmɔt͡s/,"help, aid, assistance",,ajutor,,Potrebujem niečiu pomoc.,I need someone to help me.,,,,
sk:predtým,predtým,287,1,,,,,,,înainte; mai devreme,,Deň predtým snežilo.,It had snowed the day before.,,,,
sk:pozerať,pozerať,288,1,VERB,,impf,/pɔzerac/,"to look at, to stare, to gaze, to watch; to take into consideration",,a privi; a se uita,,Tom nepozeral televízor.,Tom didn't watch TV.,,,,
sk:medzi,medzi,289,1,ADP,,,/ˈmɛd͡zi/,between; among,,între; printre,,Medzi nami je zradca.,We have a traitor among us.,,,,
sk:mesiac,mesiac,290,1,NOUN,masc,,/mesɪ̯at͡s/,"moon, a satellite of a planet; month",,lună (astru); lună (perioadă),,Mesiac je jasný.,The moon is bright.,,,,
sk:smrť,smrť,291,1,NOUN,fem,,/smr̩c/,death,,moarte,,Plakal nad smrťou svojej dcéry.,He wept over his daughter's death.,,,,
sk:brať,brať,292,1,VERB,,impf,/brac/,to take,,a lua (imperfectiv),,Neber to osobne.,Don't take it personally.,,,,
sk:zdať,zdať,293,1,,,,,,,a părea; a se părea,,Zdala sa šťastná.,She seemed happy.,,,,
sk:brat,brat,294,1,NOUN,masc,,/brat/,brother (son of the same parents as another person),,frate,,Som tvoj brat.,I'm your brother.,,,,
sk:pani,pani,295,1,NOUN,fem,,/ˈpaɲi/,lady; Mrs or Lady,,doamnă,,Kto je tá pani?,Who's that lady?,,,,
sk:slovo,slovo,296,1,NOUN,neut,,/slɔvɔ/,word; speech; promise,,cuvânt,,Nerozumiem tomu slovu.,I don't understand this word.,,,,
sk:správne,správne,297,1,,,,,,,corect; bine,,Tom konal správne.,Tom did the right thing.,,,,
sk:škola,škola,298,1,NOUN,fem,,/ʃkɔla/,school,,școală,,Pôjdete do školy.,You will go to school.,,,,
sk:myseľ,myseľ,299,1,NOUN,fem,,/miseʎ/,mind,,minte,,Máš niečo na mysli?,Do you have anything in mind?,,,,
sk:podľa,podľa,300,1,ADP,,,/ˈpɔdʎa/,according to; a la,,după; conform; potrivit,,Podľa nej nepríde.,"According to her, he won't come.",,,,
