id,sk,en,ro_current,ro_new,band,spoken_rank_max,native_author,register_flags,sounds_natural,natives_say,notes,verdict
tat:9940500,A čo teraz?,"And now, what?",,,1,55,yes,,,,,
tat:9940719,Všetko jej povedala.,She told her everything.,,,1,35,yes,,,,,
tat:9940721,Všetko jej povedal.,He told her everything.,,,1,35,yes,,,,,
tat:9940724,Všetko mu povedala.,She told him everything.,,,1,35,yes,,,,,
tat:9942107,Nenašla si prácu.,She didn't find work.,,,1,127,yes,,,,,
tat:9942109,Nenašiel si prácu.,He didn't find work.,,,1,127,yes,,,,,
tat:9942126,Kto ešte pôjde?,,,,1,77,yes,,,,,
tat:9942403,O kom hovoríš?,Whom are you speaking of?,,,1,63,yes,,,,,
tat:9942404,O kom hovoríte?,Whom are you speaking of?,,,1,63,yes,,,,,
tat:9942437,On ich nájde.,He will find them.,,,1,83,yes,,,,,
tat:9942440,Ona ich nájde.,She will find them.,,,1,83,yes,,,,,
tat:9943551,Tom nemôže pomôcť.,Tom can't help.,,,1,121,yes,,,,,
tat:9943663,Som tvoj brat.,I'm your brother.,,,1,294,yes,,,,,
tat:9943747,Zabudni na ňu.,Forget about her.,,,1,239,yes,,,,,
tat:9943748,Zabudnite na ňu.,Forget about her.,,,1,239,yes,,,,,
tat:9944209,Žiješ v Libanone?,Do you live in Lebanon?,,,1,203,yes,,,,,
tat:9944214,Hneď sa vrátim.,I'll be back right away.,,,1,208,yes,,,,,
tat:9944217,"Neviem, čo povedať.",I don't know what to say.,,,1,29,yes,,,,,
tat:9945413,Všetci sme tu.,We're all here.,,,1,35,yes,,,,,
tat:9945421,Nechcem tu zostať.,I don't want to stay here.,,,1,189,yes,,,,,
tat:9946270,Tom urobil večeru.,Tom made supper.,,,1,196,yes,,,,,
tat:9946423,Chcem ho nájsť.,I want to find him.,,,1,83,yes,,,,,
tat:9946425,Chcem ju nájsť.,I want to find her.,,,1,83,yes,,,,,
tat:9949013,Všetci to hovoria.,Everyone says that.,,,1,56,yes,,,,,
tat:9952173,Naozaj nemáme čas.,We really don't have time.,,,1,109,yes,,,,,
tat:9952514,To je moje.,That is mine.,,,1,24,yes,,,,,
tat:9952524,Koho je to?,Whose is this?,,,1,63,yes,,,,,
tat:9952528,Môže to urobiť.,He can do it.,,,1,61,yes,,,,,
tat:9954370,To je Tomovo.,It's Tom's.,,,1,2,yes,,,,,
tat:9954748,Tom povedal áno.,Tom said yes.,,,1,32,yes,,,,,
tat:9954875,Vedela som to.,I knew it.,,,1,16,yes,,,,,
tat:9957541,Musím ísť hneď?,Do I have to go right now?,,,1,208,yes,,,,,
tat:9959086,Musíš to urobiť.,You have to do it.,,,1,61,yes,,,,,
tat:9959215,Videl si ju.,You saw her.,,,1,52,yes,,,,,
tat:9959217,Videla si ju.,You saw her.,,,1,52,yes,,,,,
tat:9959218,Videli ste ju.,You saw her.,,,1,52,yes,,,,,
tat:9959219,Videl si ich.,You saw them.,,,1,52,yes,,,,,
tat:9959222,Videla si ich.,You saw them.,,,1,52,yes,,,,,
tat:9959223,Videli ste ich.,You saw them.,,,1,52,yes,,,,,
tat:9960135,Poznaj sám seba.,Know thyself.,,,1,153,yes,,,,,
tat:9960143,Je v škole.,He's at school.,,,1,298,yes,,,,,
tat:9960156,Pozrela na mňa.,She looked at me.,,,1,78,yes,,,,,
tat:9960848,Zabil som Toma.,I killed Tom.,,,1,117,yes,,,,,
tat:9960852,Nechaj Toma čakať.,Let Tom wait.,,,1,201,yes,,,,,
tat:9962977,Nevezmem si ťa.,I won't marry you.,,,1,151,yes,,,,,
tat:9968683,Po čom sú?,How much do they cost?,,,1,76,yes,,,,,
tat:9968761,Pamätaj na to.,Keep it in mind.,,,1,257,yes,,,,,
tat:9972458,Nemá ho rada.,She doesn't like him.,,,1,266,yes,,,,,
